EarNum,MeaDate,Weight,AgeDays,BirWei,Sex,Breed,LittleSize,Lactation,DaysInMilk,ReproStatus,Seasonality,BirthDate,YeanDate
0007NU153179,2015-08-11,27.2,137.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,8,2015-03-27,
0007NU153180,2015-08-11,26.0,134.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2015-03-30,
0007NU153184,2015-08-11,20.7,129.0,3.5,2.0,NU,1.0,5.0,-1.0,懷孕,8,2015-04-04,2020-02-28
0007NU153186,2015-08-11,20.6,128.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,8,2015-04-05,
0007NU153187,2015-08-11,8.7,128.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,8,2015-04-05,
0007NU154253,2015-08-11,24.1,127.0,3.5,1.0,NU,1.0,3.0,-1.0,未配種,8,2015-04-06,
0007NU150263,2015-08-11,14.8,126.0,3.5,2.0,NU,1.0,3.0,-1.0,未配種,8,2015-04-07,
0007NU150264,2015-08-11,27.6,126.0,3.5,2.0,NU,1.0,3.0,-1.0,未配種,8,2015-04-07,
0007NU154254,2015-08-11,20.6,124.0,3.5,2.0,NU,1.0,2.0,-1.0,懷孕,8,2015-04-09,2017-01-29
0007NU153188,2015-08-11,18.0,120.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2015-04-13,
0007NU153189,2015-08-11,20.3,120.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2015-04-13,
0007NU153190,2015-08-11,27.3,117.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2015-04-16,
0007NU153192,2015-08-11,19.9,116.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,8,2015-04-17,
0007NU153193,2015-08-11,18.4,116.0,3.5,2.0,NU,2.0,8.0,-1.0,懷孕,8,2015-04-17,2022-03-10
0007NU156170,2015-08-11,17.9,114.0,3.5,1.0,NU,4.0,3.0,-1.0,未配種,8,2015-04-19,
0007NU156171,2015-08-11,17.4,114.0,3.5,1.0,NU,4.0,3.0,-1.0,未配種,8,2015-04-19,
0007NU156172,2015-08-11,22.1,114.0,3.5,1.0,NU,4.0,3.0,-1.0,未配種,8,2015-04-19,
0007NU154255,2015-08-11,14.7,109.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,8,2015-04-24,
0007NU154256,2015-08-11,20.6,109.0,3.5,1.0,NU,3.0,3.0,-1.0,未配種,8,2015-04-24,
0007NU154257,2015-08-11,14.8,109.0,3.5,2.0,NU,3.0,3.0,-1.0,未配種,8,2015-04-24,
0007NU150265,2015-08-11,9.4,113.0,3.5,2.0,NU,3.0,3.0,-1.0,未配種,8,2015-04-20,
0007NU150266,2015-08-11,19.1,113.0,3.5,2.0,NU,3.0,1.0,-1.0,懷孕,8,2015-04-20,2016-05-13
0007NU150267,2015-08-11,18.3,113.0,3.5,2.0,NU,3.0,1.0,-1.0,懷孕,8,2015-04-20,2016-05-01
0007NU154258,2015-08-11,22.1,107.0,3.5,1.0,NU,4.0,3.0,-1.0,未配種,8,2015-04-26,
0007NU154259,2015-08-11,15.4,107.0,3.5,1.0,NU,4.0,3.0,-1.0,未配種,8,2015-04-26,
0007NU154260,2015-08-11,14.0,107.0,3.5,1.0,NU,4.0,3.0,-1.0,未配種,8,2015-04-26,
0007NU154261,2015-08-11,20.1,107.0,3.5,1.0,NU,4.0,3.0,-1.0,未配種,8,2015-04-26,
0007NU153183,2015-08-11,13.7,129.0,3.5,2.0,NU,2.0,3.0,-1.0,未配種,8,2015-04-04,
0007NU133133,2015-05-01,64.0,487.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,5,2013-12-30,
0007NU147205,2015-05-22,49.0,398.0,3.5,1.0,NU,2.0,3.0,-1.0,未配種,5,2014-04-19,
